Settlement ,URI,URI 2,Museum ,Museum number,Type,Material ,Technique,Gender,Part of,shape,Iconography,Clothes ,Culture Museum Atribution,Date,Period,Heigh ,width,Depth ,Length,Diameter ,weight,Inscription,Language,Find spot,Description,Hair,Function,Reasoned classification,Bibliograhy ,Pleiades URI,URI 3
Arucci ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/255991,
Arunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/255992,
Arva ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/255993,
Asta Regia,https://arachne.dainst.org/entity/1114545,,,,togatus,Marble,sculpted,Male,,body,Togatus ,Tunica and shoes ,Roman ,1 st ct. CE ,Tiberian ,182,68,42,,,,,,,,,,,,https://pleiades.stoa.org/places/256193,
Astigi,,,,,,,,,,,,,,,,,,,,,,,,"Casa de Juan Cabello, Medina-Sidonia (Janda (comarca), Cádiz <(provincia)>) 
Hallazgo, 1894","Male statue of a togado, sculpted in marble, missing the head, right forearm, left hand and feet. Dress a tunic that describes folds in V on the chest and, covering it, a toga that rests on the left shoulder and crosses obliquely the torso, forming a pronounced umbo with the folds in U and a broad sinus that falls on the thigh of the right leg. At the back, almost without working, the toga falls in a manner analogous to the way it does on the obverse, joining the folds with the highlights on the sinus itself. The character rests the weight on the left leg, which is slightly ahead of the right, leaving its shape clearly drawn under the clothes. The right arm would presumably fall along the body and the left arm would have the elbow clearly bent upwards, so that the hand would advance towards the front. The frontal carving of the sculpture, barely worked on its reverse, suggests that it was conceived to be seen only in front of it.",,,,,https://pleiades.stoa.org/places/255996,
Ategua,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MAECO&musid=7&ninv=CE024523&volver=portal&k=ategua&tipoBusqueda=simple&lng=es,Museo Arqueológico y Etnológico de Córdoba ,CE024523,portrait ,Marble,sculpted,Female ,body,head,Rounded woman head ,,Roman,101-200 CE ,,"26,5","18,5","20,5",,,,,,,,simple bun at the nape of the neck with a headband ,Public representation ,,,https://pleiades.stoa.org/places/265808,
Ategua,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MAECO&musid=7&ninv=CE029819&volver=portal&k=ategua&tipoBusqueda=simple&lng=es,Museo Arqueológico y Etnológico de Córdoba ,CE029819,animal head,Limestone,sculpted,,body,head,Horse head ,,Iberian,350-250 BCE,,29,18,,42,,,RENT,unknown,,"Anthropomorphic head belonging to the Iberian culture sculpted in white limestone, identified with a horse. Possibly it belonged to an animal body or was attached to some architectural ensemble. The head is composed of a massive block of limestone with an oval shape in the snout that widens and deforms slightly when reaching the temple. The facial features of the animal are made through a series of successful incisions. Thus the mouth of the animal appears slightly open and in which no teeth or lips have been represented. The nose has been indicated by two small incised grimaces in the curved stone that simulate the nostrils. The eyes are almond shaped with the iris being highlighted by a greater recess of the material. In the upper part of the head the animal has two holes that may have been used to place a series of applications that simulate the auditory pavilions, a custom very common in this type of animal.
Detachments can also be seen in the snout, possibly caused by the placement of the animal's own guarcionería, which was also very common to place in this type of pieces during the Iberian period. The quality of the polish of the limestone, which contrasts with certain scratches and fragmentations, is striking. In the upper part of the head and between the holes in which it is thought that there were applications as auditory pavilions, an inscription appears that is summarized as 'RENT'",,Honorific,"Some typological and iconographic elements induce to frame the sculpture around the first century d. C., between the time of Tiberius and Claudius: the large, flat and U-shaped umbo
the broad sinus, whose schematized and flat folds encompass and cover the lower part of the body
the slightly forward leg marked under the garment
the axial continuity between the folds of the tunic, arranged in a V-shape between the neck and the waist, and those of the umbo in the U-shape","BLANCO FREIJEIRO, A.. \i1 Ategua.\i0 1983. Noticiario Arqueológico Hipánico, nº 15.                        
Ed. Ministerio de Cultura.                        
Dirección General de Bellas Artes y Archivos.                        
Subdirección General de Arqueología y Etnografía.                        
Madrid, 1983..                     
CHAPA BRUNET, T.. \i1 La escultura ibérica zoomorfa.\i0 1985.                        
VAQUERIZO GIL, D.. \i1 La cultura ibérica en Córdoba. Un ensayo de síntesis.\i0 1999.                                                
VV.AA.. \i1 Los Íberos. Príncipes de Occidente.\i0 1997. (Catálogo de la exposición).                   ",https://pleiades.stoa.org/places/265808,
Ategua,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MAECO&musid=7&ninv=CE029864&volver=portal&k=ategua&tipoBusqueda=simple&lng=es,Museo Arqueológico y Etnológico de Córdoba ,CE029864,fragment,Limestone,sculpted,,body,snout,bull snout,,Iberian,600-301 BCE,,"6,7","12,6",,"12,2",,,,,,"Fragment of a snout belonging to an Iberian zoomorphic sculpture made in greyish white limestone. The fragment corresponds to the upper jaw of the sculpted animal's snout. Morphologically, the piece is composed of a block of rectangular shape, in which the holes of the nostrils indicated by four small incised lines, grouped in two and faced in a practically symmetrical manner. The sculpture lacks teeth. Due to the morphology that this fragment presents, it may have belonged to a sculpture representing a bull. In the upper part we also saw a series of lines arranged vertically and parallel to each other, which indicate the nasal septum of the animal. The way in which the piece has been worked, suggests that this sculpture will present the mouth",,Funerary ,,"BLANCO FREIJEIRO, A.. \i1 Ategua.\i0 1983. Noticiario Arqueológico Hipánico, nº 15.
Ed. Ministerio de Cultura.
Dirección General de Bellas Artes y Archivos.
Subdirección General de Arqueología y Etnografía.
Madrid, 1983.. 

CHAPA BRUNET, T.. \i1 La escultura ibérica zoomorfa.\i0 1985",https://pleiades.stoa.org/places/265808,
Aurgi,https://arachne.dainst.org/entity/1114793,,Museo Arqueológico Provincial de Jaén,,statue,Marble,sculpted,Male,,body,Togatus,Toga,Roman ,,,205,,,,,,,,,"To date: wait for photo DAI; This statue was found together with a second, female portrait statue, S. Serial no. 79801. Cobo: possibly these are the statues of the founders of the spas, d. H. the male statue would be that of C. Sempronius Sempronianus. After Damas, however, are the statues of the founders of the Nymphaeum. The Statuenmaß is probably the indication with the plinth. The statue is the tallest just over life size. After Chicarro she was found in the village of La Bobadilla de Alcaudete. La Bobadilla is a village in the municipality of Alcaudete in the province of Jaén. M. E. serial no. 79801 and this statue not from the same workshop, do not form a group, as they seem to have different functions (note: view of the figures) and do not even date. Cologne: order photos DAI. Catalog C xy
Sinus margin runs just below the knee; Umbo slightly overlaps the Balteus. The Balteus leads tightly to the Vs. The wrinkles are","Head turn frontal
Hair hairstyle shorthair hair hair strands hair simple
Headgear Headgear: without headgear",Public representation ,,"L. Baena del Alcázar, Esculturas romanas de Andalucía oriental (1982) 93 Taf. 110 (unpublizierte Diss.
mit Bibl.)
Baena, L. (1996) 41 Taf. 4 Abb. 2
Martín Jiménez Cobo, Jaén romano (1999) 54
S. Lázaro Damas, Un ninfeo romano en Jaén: La Fuente de la Magdalena, in: Actas del 1. Congreso Peninsular de Historia Antigua 1, Santiago der Compostela 1.-5. julio 1986 (1988) 341-351 bes. 345
Franz, A. (2001) Nr. III.1.1.16
Chicarro Chamorro, J. L. (1999) 371. 378 Abb. 134",https://pleiades.stoa.org/places/265810,
Aurgi,https://arachne.dainst.org/entity/1114765,,Museo Arqueológico Provincial de Jaén,,statue,Marble,sculpted,Male,,body ,Togatus,Toga,Roman ,1st cent CE,trajan,200,,,,,,,,,"This statue was allegedly found together with a second, male portrait statue, S. Serial no. 79832. According to Cobo, they may be the statues of the founders of the spas, d. H. the female statue would be that of F. Vibia Anicilla. After Damas, however, are the statues of the founders of the Nymphaeum. Franz mentions that the robed statue was found in a fountain together with a pedestal (number III.2.9), but that this does not necessarily belong to the statue, but probably arose later than this, cf. Ser. 79939. The pedestal bears an inscription in honor of Fabia, daughter of Titus Iulis Per ...; Size at its own discretion, but somewhere is that the figure is 2 m high. This is probably the measurement with plinth. The statue was made without the use of a drill as well as the head. The figure is relatively flat, which is probably why it was not designed for the round view. M. E. serial no. 79832 and this statue not from the same workshop, do not form a group, as they seem to have different functions (note: view of the figures) and do not even date, s. other Ds. Catalog C xy
very flat folds, smooth fold valleys. The figure is relatively flat, which is probably why it was not designed for the round view. To Fisur: A braided hair pot forms the Stirnhaarabschluß and framed the face from ear to ear. From him on both sides, a hair lock has been released, which sits tightly rolled on the cheek in front of the earlobe. Behind the Stirnhaarzopf are parallel to three more layers of braids without visible surface structure. They end up in a small hair nest that sits low at the back of the head",hair tied up,Public representation ,,"L. Baena del Alcázar, Esculturas romanas de Andalucía oriental (1982 unpublizierte Diss.) 273-275 Nr. 94 Taf. 111
Baena Alcántara, M. D. (2000) 11 Nr. C 2
Martín Jiménez Cobo, Jaén romano (1999) 54. S. Lázaro Damas, Un ninfeo romano en Jaén: La Fuente de la Magdalena, in: G. Pereira Menaut (Hrsg.), Actas del 1er Congreso Peninsular de Historia Antigua 1. Santiago der Compostela , 1.-5. julio1986 (1988) 341-351 bes. 345
Franz, A. (2001) Nr. III.2.8",https://pleiades.stoa.org/places/265810,
Aurgi,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MJA&musid=11&ninv=CE/DA01157&volver=portal&k=aurgi&tipoBusqueda=simple&lng=es,Museo Arqueológico Provincial de Jaén,CE/DA01157,portrait ,sandstone,sculpted,Male,body,head,,,Late Roman Empire,101,,34,"20,3",,,,,,,,"Carved male head. Its state of conservation is deplorable, having lost almost the entire mouth and much of the nose and left eye
in addition almost the entire surface of the face is chipped. The part of the neck is also destroyed, missing a large piece. The piece corresponds to a man of mature age although its expression can not be specified due to its poor condition. Delicate modeling where it is preserved. The hair and the beards are short and abundantly curly, well indicated, but without too much detail. The eyes are detailed and the holes of the pupils are filled with plaster. The head had to finish off a bust or statue, surely it is from a local workshop.",bald,Honorific,,"BAENA DEL ALCÁZAR, L.. \i1 Acerca de un retrato romano Bajoimperial de Aurgi.\i0 1997. Habis, nº 28, pp.207-214. 

BAENA DEL ALCÁZAR, Luis; BELTRÁN FORTES, José. \i1 Esculturas romanas de la provincia de Jaén.\i0 Murcia: TABVLARIVM, 2002. Pág. 76-77 / Lám. VIII, 1-4; Corpvs Signorvm Imperii Romani. Corpus de Esculturas del Imperio Romano. España. Publicado bajo los auspicios de la Asociación Internacional de Arqueología Clásica. Tomo 1. Volumen 2..",https://pleiades.stoa.org/places/265810,
Axati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256002,
Baedro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256004,
Baelo Claudia ,arachne.dainst.org/entity/1186534,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ17204&volver=portal&k=baelo%20claudia&tipoBusqueda=simple&lng=es,Museo de Cádiz ,DJ17204,statue,Marble,sculpted,Female,body,body,"The sculpture corresponds to the iconographic type of the Artemisia of the Mausoleum of Halicarnassus, characterized by a figure dressed in a fine tunic, girded by a ribbon that in this case hides the folds of the mantle or palla, crossed in front over the waist and collected in thick folds on the left arm
[Baena del Alcázar includes it in the Themis de Ramnunte type, although the characteristics it points to as basic and the illustrations it reproduces as representative of each type bring Baelo's sculpture closer to the above-mentioned type of Artemisia.]",Toga,Roman,,,"1,47",,,,,,,,,"Sculpture with a round shape that represents a female figure togada, standing, larger than the natural size. He is missing his head, forearms and half of his right arm. She is dressed in a fine tunic, which lets intuit the shape of the breasts, surrounded by a tape hidden by a pronounced sinus-or fold-of the mantle or palla, crossed in front on the waist and gathered in thick folds on the left arm. The weight of the body rests on the left leg, while the right is slightly flexed, in an attitude of rest, supporting only the front end of the foot.",,Public representation,,"BAENA DEL ALCÁZAR, Luis. \i1 ´Tipología y funcionalidad de las esculturas femeninas vestidas de Hispania´.\i0 2000. p. 5-6 y 12; ""Pertenecientes a este grupo [Themis de Ramnunte], siguiendo con fidelidad al modelo o con algunas variantes, debemos contar con varios ejemplares que alcanzan cotas de gran calidad técnica. Entre ellos (...) el de Baelo, en el Museo de Cádiz""; Actas de la III Reunión sobre Escultura Romana en Hispania. El autor adscribe la escultura al tipo Themis de Ramnunte. Sin embargo las características descritas y las ilustraciones representativas del arquetipo parecen aproximar más el ejemplar de Baelo al tipo de la Artemisia del Mausoleo de Halicarnaso.

CORZO SÁNCHEZ, Ramón. \i1 La Antigüedad.\i0 1989. p. 305; il. 247; ""(...) la figura femenina procede de Baelo Claudia (Bolonia, Cádiz), y debe corresponder a mediados del siglo I d.C., cuando los pliegues de los paños se hacen más gruesos y profundos para dar mayor corporeidad aunque se pierda detalle.""; Historia del Arte en Andalucía.",https://pleiades.stoa.org/places/256005,
Baelo Claudia ,arachne.dainst.org/entity/1114832,,Museo arqueologico Nacional ,33170,statue,Marble,sculpted,Male,body,body,Magistrate,Toga,Roman,1st ct. AD,Claudian,190,,50,95,,,,,,"This figure represents an important personage of the city of Baelo Claudia, possibly a magistrate. It was found in the forum, next to the Temple of Jupiter, in the area dedicated to the Capitoline Triad. He is represented with the toga and at his feet the volumina box (books rolled on an axis). The toga is a symbol of romanity. The individuals who dressed it were Roman citizens and, as such, they had the right to exercise the magistratures proper to the cursus honorum. The represented person held a public position in the city, and the senatus of the same gave him the honor of erecting his sculpture in marble. These statues were placed in the fora and other public places. Only the municipal aristocracy, which monopolizes the high local magistrates, has the economic power to be able to arrive at the position and to contribute to the public charges, including the acts of evergetism. Only she could afford the realization of these monumental sculptures.",,Public representation,,"Paris – Bonsor – Laumonier – Ricard – Mergelina, Fouilles de Belo Bd. 1 (1923) 84. 89 Abb. 28 Taf. 13 (Erstpublikation), García y Bellido, A. (1949) Nr. 222 Taf. 160
Baena, L. (1996) 39 Taf. 1 Abb. 3
Franz, A. (2001) Nr. III.1.1.10
Rodriguez Oliva, P. (1993) 30
Pierre Sillières, Baelo Claudia une cité romaine de Bétique (Madrid 1995) 94 Abb. 40. 95

W. Trillmich. in: J.-N. Bonneville – M. Fincker – P. Sillières – S. Dardaine – J.-M. Labarthe, Baelo 7. Le capitole, Collection de la Casa de Velázquez 67 (2000) 206-209.",https://pleiades.stoa.org/places/256005,
Baelo Claudia ,arachne.dainst.org/entity/1114448,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=CE09540&volver=portal&k=baelo%20claudia&tipoBusqueda=simple&lng=es,Museo de Cádiz ,CE09540,statue,Marble,sculpted,Male,body,body,Trajan ,Toga,Roman ,,"Trajan, Claudian","""Head: Height = 0.66 m
Body: Height = 2.68 m""                ",,,,,,,,,"The body and the head, both sculpted in white marble, respond to different origins and chronology, although at the time they formed a single statue. The body, which only lack the forearms, represents the typical toga, with the folds little worked, supported by a cornucopia, located next to the right leg. The head, made in Carrara marble, portrays a man in adulthood, with the facial features treated with a rigorous and laconic modeling, concentrating the expressive force in the marked labial folds and tight mouth. The hair is resolved in parallel strands, attached to the skull, combed to the right and with a bifurcation at the left end of the fringe.",,Propaganda,,"ARCE, Javier. \i1 ´Estatuas y retratos imperiales en Hispania romana´.\i0 2002. p. 246; Archivo Español de Arqueología. Tomo 75

BERGMANN, Marianne. \i1 ´Zu de Porträts des Trajan und Hadrian´.\i0 1997. p. 142; il. 4; Italica MMCC. 

BLANCO FREIJEIRO, Antonio. \i1 ´Trajano surge en Belo´.\i0 1981. p. 126-128; Historia 16. Número de enero

BLANCO JIMÉNEZ, Francisco José. \i1 ´La numismática romana del Museo de Cádiz´.\i0 2005. il. 2; La colección de monedas del Museo de Cádiz. Catálogo. La escultura representada en la fotografía corresponde a la réplica realizada a partir de un molde del original y que se expone en el propio yacimiento de Baelo Claudia (Bolonia, Tarifa, Cádiz)

BONNEVILLE, Jean-Nöel; et álii. \i1 ´La quinzième campagna de fouilles de la Casa Velázquez à Belo en 1980 (Bolonia, province de Cadix)´.\i0 1981. p. 420-430; il. 14-20; ""(...) Una estatua imperial en mármol. El cuerpo, acostado en dirección sur-norte, se dispone oblícuamente sobre los bloques derrumbados hacia el sur y yace al pie de la base cuya altura conservada es de alrededor de 1,50 m. Aparte del pie izquierdo, destruido por el bulldozer en la demolición del asfalto de la carretera, no faltan sino los antebrazos, añadidos como indican las espigas aún visibles. Con el zócalo destinado a proporcionarle un asiento sobre la base, el cuerpo mide 2,675 m. (...) Su descubrimiento [de la cabeza] fue sin embargo sorprendente, por que no se encontraba al otro lado del cuerpo hacia el sur, sino del lado del zócalo, al pie mismo de la base. (...) la cabeza y el cuerpo probablemente no son contemporáneos. La identificación del retrato de Trajano no es objeto de discusión; el cuerpo no ofrece, en ausencia de inscripción, elementos absolutamente seguros de datación, pero numerosos indicios autorizan a pensar que ha sido desplazado de la estatua de origen que sería del fundador del municipio, Claudio."" (Trad. del francés)
; Mélanges de la Casa Velázquez. Tomo 17
Informe de la campaña de excación de 1980, en la que apareció la estatua. Describe las circunstancias del hallazgo y el contexto arqueológico del mismo. Apunta algunas cuestiones sobre la cronología, la adscripción y interpretación de la estatua

CORZO SÁNCHEZ, Ramón. \i1 La Antigüedad.\i0 1989. p. 299; il. 241; ""También de calidad excelente es la figura togada del emperador que presidía la basílica de Baelo Claudia y fue hallada en julio de 1980; aunque el cuerpo puede ser producto de un taller local, la cabeza corresponde a un retrato oficial del momento de plenitud de su mandato, copiado de un original de bronce que es evidente en el tratamiento lineal del cabello; sus rasgos deben corresponder con mucha versosimilitud a la realidad, ya que no se ha dudado en representar la finura de los labios, el gran espacio entre la boca y la nariz o la pequeñez de la frente, todo ello en un tamaño muy superior al natural que lo sitúa entre los mejores retratos romanos de Hispania.""; Historia del Arte en Andalucía. 

GARBARINO GAINZA, Cándida; et álii. \i1 Museo de Cádiz. Guía oficial.\i0 2004. p. 64-65; il. p. 17, 64. 

GARCÍA ALFONSO, Eduardo; MARTÍNEZ, Virgilio; MORGADO, Antoni. \i1 ´Museo de Cádiz. Sección Arqueología´.\i0 1995. p. 52-53; ""Se trata de la estatua colosal de Trajano, hallada en la basílica de Baelo Claudia en el año 1980. La escultura, en mármol blanco y de tamaño muy superior al natural, debió presidir los actos públicos del edificio, para lo que contó con un basamento ex-profeso. Su estado de conservación es excelente, aunque le faltan los antebrazos. Podemos distinguir perfectamente dos tallistas en su ejecución, uno para la cabeza y otro para el cuerpo. El retrato, uno de los mejores que se conocen de Trajano en Hispania, es muy realista, seguramente copia de algún original en bronce; representa al emperador en la plenitud de su reinado. El hecho de estar esculpido en mármol de Carrara nos induce a clasificarlo como obra oficial de algún taller de la misma Roma. El cuerpo es de un arte muy inferior, constituyendo el típico togado, apoyado en la cornucopia, siendo obra de algún escultor local. Cabeza y cuerpo presentan una cierta desproporción, siendo éste algo más pequeño. Esto se ha interpretado como que la estatua fue, en principio, de Claudio y estuvo ubicada en otro lugar de la ciudad; una vez se remodeló el foro de Baelo, construyéndose la basílica, en ella se colocó esta estatua, pero con el retrato del emperador reinante, esto es, Trajano.""; Museos Arqueológicos de Andalucía. 

GARRIGUET, José A. \i1 ´Grupos estatuarios imperiales de la Bética: la evidencia escultórica y epigráfica´.\i0 2004. p. 70-72; il. 1, 1; ""(...) en función de los toques de trépano observados en el escote de la túnica y en puntos muy concretos de la toga (el balteus y el umbo, por ejemplo), así como de la amplitud y del volumen de ésta, la cronología de aquella podría situarse en el tercer cuarto del siglo I d.C.""; Actas de la IV Reunión sobre escultura romana en Hispania (Faculdade de Belas-Artes de Lisboa, Universidade de Lisboa; 7, 8 e 9 fevereiro 2002). 

GONZÁLEZ, Julián; SAQUETE, José Carlos, ed. \i1 Marco Ulpio Trajano: Emperador de Roma. Documentos y fuentes para el estudio de su reinado.\i0 2003. il. 25. 

LEÓN ALONSO, Pilar. \i1 Retratos romanos de la Bética.\i0 Sevilla (m): 2001. p. 302-305; Catálogo de la Exposición (Mayo-junio, 2001). Nº Cat. 92
Estudio específico dedicado únicamente al retrato

PONSICH, Michel. \i1 ´Baelo Claudia, la preferida de Claudio´.\i0 1981. p. 6-13; Revista de Arqueología. Tomo 2

RODRÍGUEZ OLIVA, Pedro. \i1 ´Ciclos escultóricos de la casa y de la ciudad de la Bética´.\i0 1993. p. 26 y 36-37; Actas de la I Reunión sobre escultura romana en Hispania (Mérida 1992). 

SÁNCHEZ DE LAS HERAS, Carlos; et álii. \i1 La Vía Augusta en la Bética. Proyecto: Las Vías Romanas del Mediterráneo.\i0 2001. il. 36. 

SILLIÈRES, Pierre. \i1 Baelo Claudia. Una ciudad romana de la Bética.\i0 1997. il. p. 65; Collection de la Casa Velázquez.",https://pleiades.stoa.org/places/256005,
Baelo Claudia ,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ17202&volver=portal&k=baelo%20claudia&tipoBusqueda=simple&lng=es,Museo de Cádiz ,DJ17202,statue,Pink Marble,sculpted,Male,,body,silenus,naked,Ibero-roman,51=100,Late Roman empire,"0,5","0,55",,109,,,,,,"This statue was part, along with another analog, of a monumental stepped fountain that decorated the wall of the pulpitum of Baelo Claudia's theater. This building was built, most likely, in the second half of the first century AD. and abandoned around the third century, with subsequent reuse for housing and necropolis (IV-VII centuries). The sources would be part of the set from the first moments, possibly dating back to the second half of the first century AD.",,fountain decoration,,"GARCÍA ALFONSO, Eduardo; MARTÍNEZ, Virgilio; MORGADO, Antoni. \i1 ´Museo de Cádiz. Sección Arqueología´.\i0 1995. p. 54; Museos Arqueológicos de Andalucía. 

LOZA AZUAGA, María Luisa. \i1 ´La escultura de fuentes en Hispania: ejemplos de la Baetica´.\i0 1993. p. 100-101; I Reunión de Escultura Romana en Hispania. 

SILLIÈRES, Pierre. \i1 Baelo Claudia. Una ciudad romana de la Bética.\i0 1997. p. 137; il. 70; Collection de la Casa Velázquez.
",https://pleiades.stoa.org/places/256005,
Baelo Claudia ,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MCA&musid=2&ninv=DJ17203&volver=portal&k=baelo%20claudia&tipoBusqueda=simple&lng=es,Museo de Cádiz ,DJ17203,statue,Pink Marble,sculpted,Male,,body,silenus,naked,Ibero-roman,51=100,Late Roman empire,,,,,,,,,,"This statue was part, along with another analog, of a monumental stepped fountain that decorated the wall of the pulpitum of Baelo Claudia's theater. This building was built, most likely, in the second half of the first century AD. and abandoned around the third century, with subsequent reuse for housing and necropolis (IV-VII centuries). The sources would be part of the set from the first moments, possibly dating back to the second half of the first century AD.",,fountain decoration,,"GARCÍA ALFONSO, Eduardo; MARTÍNEZ, Virgilio; MORGADO, Antoni. \i1 ´Museo de Cádiz. Sección Arqueología´.\i0 1995. p. 54; Museos Arqueológicos de Andalucía. 

LOZA AZUAGA, María Luisa. \i1 ´La escultura de fuentes en Hispania: ejemplos de la Baetica´.\i0 1993. p. 100-101; I Reunión de Escultura Romana en Hispania. 

SILLIÈRES, Pierre. \i1 Baelo Claudia. Una ciudad romana de la Bética.\i0 1997. p. 137; il. 70; Collection de la Casa Velázquez.
",https://pleiades.stoa.org/places/256005,
Baesippo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256007,
Barba ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256453,
Barbariana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256017,
Barbesula ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pleiades.stoa.org/places/256016,
Basilippo,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=REP27402&volver=portal&k=basilippo&tipoBusqueda=simple&lng=es,Museo Arqueologico de Sevilla,REP27402,statue,Marble,sculpted,Male,,body,togatus,Togatus,Roman ,1 st ct.  CE ,Late Roman Empire,140,66,35,,,,,,,"Male figure, headless, dressed in ample toga gathered on the right side and pledged on the left shoulder. Presents an elliptical cut, closed at the bottom and open up to the waist, where the girdle with a fold that arises below the right arm ('ballet'), forming a characteristic knot in the central area of the abdomen (' '). Above, wide and shallow folds forming triangular neckline. The right leg covered by a wide fold (sine), describing a very pronounced curve below the knee. The arms were separate pieces, set with bolts in the hollows of the right elbow and the left forearm. In the upper part, hollow for the fitting of the head, conceived as an independent piece",,Honorific,,"FERNÁNDEZ GÓMEZ, Fernando. \i1 Arqueología del Valle del Guadalquivir, de la Prehistoria a Roma.\i0 Vitoria: Caja Vital Kutxa, 2004. p. 125.",https://pleiades.stoa.org/places/256020,https://www.europeana.eu/portal/es/record/2022703/oai_euromuseos_mcu_es_euromuseos_MASE_REP27402.html?q=carmona+sevilla
Basilippo,,http://www.juntadeandalucia.es/cultura/WEBDomus/fichaCompleta.do?acron=MASE&musid=17&ninv=CE05399&volver=portal&k=basilippo&tipoBusqueda=simple&lng=es,Museo Arqueologico de Sevilla,CE05399,statue,Marble,sculpted,Female,body,torso,"Amazona 
[Según García y Bellido, 1949: 168] 

Dea Roma 
[Según Fernández y Fernández, 1980: 44]",chiton,Roman ,115[ca]-140[ca],"Late Roman Empire, Hadrian",166,83,36,,,,,,,"Robust woman, dressed in a short chiton, belted by a belt and a cloak over her back, gathered on the left forearm. Sineum and right shoulder in the open, with double strap across the chest, the right being a baldric from which hangs a sword that appears between the hip and the left arm. Leg left forward, leaving the other slightly exonerated. Right and back sides carved in rough, indications of having been conceived to be seen from the front",,funerary,,"FERNÁNDEZ CHICARRO Y DE DIOS, Concepción; FERNÁNDEZ GÓMEZ, Fernando. \i1 Catálogo del Museo Arqueológico de Sevilla (II). Salas de Arqueologia Romana y Medieval.\i0 Madrid: Ministerio de Cultura, 1980. p. 44, nº 3. 

GARCÍA Y BELLIDO, Antonio. \i1 Esculturas romanas de España y Portugal.\i0 Madrid: CSIC, 1949. p. 168, lám. 138. 

HERNÁNDEZ DÍAZ, José; et álii. \i1 Catálogo arqueológico y artístico de la provincia de Sevilla II.\i0 Sevilla: Diputación de Sevilla, 1943. p. 113, fig. 125. 

NIEMEYER, Hans Georg. ""La escultura romana en época Hadrianea y su establecimiento en la Bética"". \i1 En homenaje a Conchita Fernández Chicarro.\i0 Madrid: Ministerio de Cultura, 1982. pp. 335-336, lám. 4. 

RODRÍGUEZ HIDALGO, José Manuel. ""Anotaciones en torno a Basilippo. La Torre del Cincho"". \i1 Habis.\i0 1979-1980, 10-11, p. 425-435. p. 427.",https://pleiades.stoa.org/places/256020,https://www.europeana.eu/portal/es/record/2022703/oai_euromuseos_mcu_es_euromuseos_MASE_REP05399.html
